Metadata,,,,,,,,
№,Автор,Файл_№,Файл (путь от рабочей папки),Начало (сек),Конец (сек),Текст,Code,Носитель
1427,Сатина Мария,mns_3002b4aa-88b0-4e33-8c62-3bf964711e2f_043,Сатина Мария/mns_3002b4aa-88b0-4e33-8c62-3bf964711e2f/043_Ты_ищх_пы_ут_хосыт_р.wav,148.020,152.150,Ты ищхӣпыӈ ут хосыт рӯпитым са̄в рӯпитан колыт акван-нё̄тхатэ̄гыт.,3002b4aa-88b0-4e33-8c62-3bf964711e2f,ГК
1428,Сатина Мария,mns_3002b4aa-88b0-4e33-8c62-3bf964711e2f_044,Сатина Мария/mns_3002b4aa-88b0-4e33-8c62-3bf964711e2f/044_Ос_халанылт_моляхнув.wav,152.170,154.420,Ос халанылт моляхнув торгамтахтэ̄гыт.,3002b4aa-88b0-4e33-8c62-3bf964711e2f,ГК
1429,Сатина Мария,mns_3002b4aa-88b0-4e33-8c62-3bf964711e2f_045,Сатина Мария/mns_3002b4aa-88b0-4e33-8c62-3bf964711e2f/045_Ка_сы_колт_р_питан_х.wav,154.500,158.960,Ка̄сыӈ колт рӯпитан хо̄тпат ты по̄слым тина сунсуӈкве ве̄рмияныл.,3002b4aa-88b0-4e33-8c62-3bf964711e2f,ГК
1430,Сатина Мария,mns_3002b4aa-88b0-4e33-8c62-3bf964711e2f_046,Сатина Мария/mns_3002b4aa-88b0-4e33-8c62-3bf964711e2f/046_Ань_кит_со_тыр_ва_т_.wav,158.990,164.020,Ань кит со̄тыр ва̄т нупыл нилыт та̄лт ты ищхӣпыӈ утыт хосыт вит о̄нтнэ порат.,3002b4aa-88b0-4e33-8c62-3bf964711e2f,ГК
1431,Сатина Мария,mns_3002b4aa-88b0-4e33-8c62-3bf964711e2f_047,Сатина Мария/mns_3002b4aa-88b0-4e33-8c62-3bf964711e2f/047_Ма_ос_тох_уральтасан.wav,164.050,165.930,Ма̄ ос тох уральтасаныл.,3002b4aa-88b0-4e33-8c62-3bf964711e2f,ГК
1432,Сатина Мария,mns_3002b4aa-88b0-4e33-8c62-3bf964711e2f_048,Сатина Мария/mns_3002b4aa-88b0-4e33-8c62-3bf964711e2f/048_Тох_та_н_э_тэ_хо_тал.wav,165.940,168.030,Тох та̄н э̄тэ-хо̄талэ ва̄саныл.,3002b4aa-88b0-4e33-8c62-3bf964711e2f,ГК
1433,Сатина Мария,mns_3002b4aa-88b0-4e33-8c62-3bf964711e2f_049,Сатина Мария/mns_3002b4aa-88b0-4e33-8c62-3bf964711e2f/049_Хумус_вит_о_нты_мано.wav,168.050,171.130,Хумус вит о̄нты манос ёлаль то̄смыгтас.,3002b4aa-88b0-4e33-8c62-3bf964711e2f,ГК
1434,Сатина Мария,mns_3002b4aa-88b0-4e33-8c62-3bf964711e2f_050,Сатина Мария/mns_3002b4aa-88b0-4e33-8c62-3bf964711e2f/050_Ха_льу_с_районт_Куль.wav,171.160,175.470,"Ха̄льӯс районт Кульпас, Ягрим па̄влыг по̄слын утыл тагатавесы̄г.",3002b4aa-88b0-4e33-8c62-3bf964711e2f,ГК
1435,Сатина Мария,mns_3002b4aa-88b0-4e33-8c62-3bf964711e2f_051,Сатина Мария/mns_3002b4aa-88b0-4e33-8c62-3bf964711e2f/051_Мо_т_па_влыт_тах_с_л.wav,175.490,178.120,Мо̄т па̄влыт тах ōс ла̄щал тамле утыл ва̄равет.,3002b4aa-88b0-4e33-8c62-3bf964711e2f,ГК
1436,Сатина Мария,mns_3002b4aa-88b0-4e33-8c62-3bf964711e2f_052,Сатина Мария/mns_3002b4aa-88b0-4e33-8c62-3bf964711e2f/052_Ма_витув_нумыл_ураль.wav,178.140,180.560,Ма̄-витув нумыл уральтаӈкве патаве. ,3002b4aa-88b0-4e33-8c62-3bf964711e2f,ГК
1437,Сатина Мария,mns_fd7120f9-371b-4953-bf8b-bc630439d201_001,Сатина Мария/mns_fd7120f9-371b-4953-bf8b-bc630439d201/001_То_рум_но_халь_са_йк.wav,0.370,3.020,То̄рум но̄ӈхаль са̄йкалы.,fd7120f9-371b-4953-bf8b-bc630439d201,МД
1438,Сатина Мария,mns_fd7120f9-371b-4953-bf8b-bc630439d201_002,Сатина Мария/mns_fd7120f9-371b-4953-bf8b-bc630439d201/002_Т_яг_туи_таквсы_хо_т.wav,3.500,7.220,"Тӯяг, туи, таквсы хо̄талыт.",fd7120f9-371b-4953-bf8b-bc630439d201,МД
1439,Сатина Мария,mns_fd7120f9-371b-4953-bf8b-bc630439d201_003,Сатина Мария/mns_fd7120f9-371b-4953-bf8b-bc630439d201/003_Аквхурипа_хо_тал_хун.wav,7.350,12.220,Аквхурипа хо̄тал хунь постыглы. Ка̄сыӈ хо̄тал са̄всыр хурил.,fd7120f9-371b-4953-bf8b-bc630439d201,МД
1440,Сатина Мария,mns_fd7120f9-371b-4953-bf8b-bc630439d201_004,Сатина Мария/mns_fd7120f9-371b-4953-bf8b-bc630439d201/004_Нуми_То_рум_н_халь_с.wav,12.260,15.020,Нуми То̄рум нōӈхаль са̄йкалы.,fd7120f9-371b-4953-bf8b-bc630439d201,МД
1441,Сатина Мария,mns_fd7120f9-371b-4953-bf8b-bc630439d201_005,Сатина Мария/mns_fd7120f9-371b-4953-bf8b-bc630439d201/005_Тове_рты_татем_раква.wav,15.200,18.130,Тове̄ртыӈ татем ракващла̄лыглы.,fd7120f9-371b-4953-bf8b-bc630439d201,МД
1442,Сатина Мария,mns_fd7120f9-371b-4953-bf8b-bc630439d201_006,Сатина Мария/mns_fd7120f9-371b-4953-bf8b-bc630439d201/006_Тове_рты_татем_во_та.wav,18.300,23.130,"Тове̄ртыӈ татем во̄тащла̄лы, кон-ква̄луӈкв щар ат ве̄рме̄гын.",fd7120f9-371b-4953-bf8b-bc630439d201,МД
1443,Сатина Мария,mns_fd7120f9-371b-4953-bf8b-bc630439d201_007,Сатина Мария/mns_fd7120f9-371b-4953-bf8b-bc630439d201/007__лаль_э_ри_са_н_холь.wav,23.370,26.710,Ёлаль э̄ри са̄н хольт со̄схаты.,fd7120f9-371b-4953-bf8b-bc630439d201,МД
1444,Сатина Мария,mns_fd7120f9-371b-4953-bf8b-bc630439d201_008,Сатина Мария/mns_fd7120f9-371b-4953-bf8b-bc630439d201/008_Тувыл_ракве_лаль_по_.wav,26.840,31.850,"Тувыл ракве ёлаль по̄йтыгпи, хо̄талакве самаге пӯнсыгты.",fd7120f9-371b-4953-bf8b-bc630439d201,МД
1445,Сатина Мария,mns_fd7120f9-371b-4953-bf8b-bc630439d201_009,Сатина Мария/mns_fd7120f9-371b-4953-bf8b-bc630439d201/009_Л_пта_пуме_тымус_то_.wav,31.930,37.640,"Лӯпта, пуме тымус то̄слапты. Ос нюлыйӣв я̄ ӯлтта тӯщтыгпи. ",fd7120f9-371b-4953-bf8b-bc630439d201,МД
1446,Сатина Мария,mns_fd7120f9-371b-4953-bf8b-bc630439d201_010,Сатина Мария/mns_fd7120f9-371b-4953-bf8b-bc630439d201/010_Сэ_кв_во_т_регкве_та.wav,38.010,41.040,Сэ̄кв во̄т регкве татем ханслы.,fd7120f9-371b-4953-bf8b-bc630439d201,МД
1447,Сатина Мария,mns_fd7120f9-371b-4953-bf8b-bc630439d201_011,Сатина Мария/mns_fd7120f9-371b-4953-bf8b-bc630439d201/011_Вильтын_аквтуп_вотга.wav,41.170,43.960,"Вильтын, аквтуп, вотгащла̄нтым.",fd7120f9-371b-4953-bf8b-bc630439d201,МД
1448,Сатина Мария,mns_fd7120f9-371b-4953-bf8b-bc630439d201_012,Сатина Мария/mns_fd7120f9-371b-4953-bf8b-bc630439d201/012_Ракве_хотталь_нупыл_.wav,44.030,49.400,"Ракве хотталь нупыл та нуяве, во̄тын тулыт ёт та тотаве.",fd7120f9-371b-4953-bf8b-bc630439d201,МД
1449,Сатина Мария,mns_fd7120f9-371b-4953-bf8b-bc630439d201_013,Сатина Мария/mns_fd7120f9-371b-4953-bf8b-bc630439d201/013_То_рум_атырхари_сам_.wav,49.670,55.090,"То̄рум атырхари сам по̄сыл во̄ре, витэ, аквтуп, сунсыглы.",fd7120f9-371b-4953-bf8b-bc630439d201,МД
1450,Сатина Мария,mns_fd7120f9-371b-4953-bf8b-bc630439d201_014,Сатина Мария/mns_fd7120f9-371b-4953-bf8b-bc630439d201/014_Сыстам_ма_лтып_во_т_.wav,55.160,60.690,"Сыстам, ма̄лтып во̄т рēгакве ёт исум ре̄ге ёлаль та̄рта̄лы.",fd7120f9-371b-4953-bf8b-bc630439d201,МД
1451,Сатина Мария,mns_fd7120f9-371b-4953-bf8b-bc630439d201_015,Сатина Мария/mns_fd7120f9-371b-4953-bf8b-bc630439d201/015__йрищаквет_луйгалтах.wav,60.890,65.860,"Ӯйрищаквет луйгалтахтэ̄гыт, са̄всыр турсуин та патэ̄гыт.",fd7120f9-371b-4953-bf8b-bc630439d201,МД
1452,Сатина Мария,mns_fd7120f9-371b-4953-bf8b-bc630439d201_016,Сатина Мария/mns_fd7120f9-371b-4953-bf8b-bc630439d201/016_Та_н_ос_хо_талаквен_.wav,65.940,71.760,Та̄н ос хо̄талаквен ща̄гтащлым э̄ла-юв та исгащла̄лэ̄гыт.,fd7120f9-371b-4953-bf8b-bc630439d201,МД
1453,Сатина Мария,mns_fe84e10c-d228-4e29-937b-e73e570dbb24_001,Сатина Мария/mns_fe84e10c-d228-4e29-937b-e73e570dbb24/001_Ялпы_хо_тал_кастыл_м.wav,0.210,2.710,Ялпыӈ хо̄тал кастыл ма̄щтырлэ̄гыт.,fe84e10c-d228-4e29-937b-e73e570dbb24,ВУ
1454,Сатина Мария,mns_fe84e10c-d228-4e29-937b-e73e570dbb24_002,Сатина Мария/mns_fe84e10c-d228-4e29-937b-e73e570dbb24/002_Са_с_то_тапыт_ва_рыс.wav,2.970,5.090,Са̄с то̄тапыт ва̄рыс.,fe84e10c-d228-4e29-937b-e73e570dbb24,ВУ
1455,Сатина Мария,mns_fe84e10c-d228-4e29-937b-e73e570dbb24_003,Сатина Мария/mns_fe84e10c-d228-4e29-937b-e73e570dbb24/003_Ты_э_тпос_ловит_хо_т.wav,5.200,10.000,Ты э̄тпос ловит хо̄талэ̄т ма̄н о̄лнэ ма̄в янытлаӈкв патаве.,fe84e10c-d228-4e29-937b-e73e570dbb24,ВУ
1456,Сатина Мария,mns_fe84e10c-d228-4e29-937b-e73e570dbb24_004,Сатина Мария/mns_fe84e10c-d228-4e29-937b-e73e570dbb24/004_Са_всыр_суссылтапыт_.wav,10.150,13.970,Са̄всыр суссылтапыт ос мо̄т пӯмыщ тэ̄лат тах ва̄равет.,fe84e10c-d228-4e29-937b-e73e570dbb24,ВУ
1457,Сатина Мария,mns_fe84e10c-d228-4e29-937b-e73e570dbb24_005,Сатина Мария/mns_fe84e10c-d228-4e29-937b-e73e570dbb24/005_Ма_ньщи_нэ_Татьяна_Е.wav,14.050,18.390,Ма̄ньщи нэ̄ Татьяна Ермиловна Тарасова ма̄навн ля̄ххал те̄тыс.,fe84e10c-d228-4e29-937b-e73e570dbb24,ВУ
1458,Сатина Мария,mns_fe84e10c-d228-4e29-937b-e73e570dbb24_006,Сатина Мария/mns_fe84e10c-d228-4e29-937b-e73e570dbb24/006_Та_н_ты_ялпы_хо_тал_.wav,18.520,21.670,Та̄н ты ялпыӈ хо̄тал кастыл хумус щё̄питахтэ̄гыт.,fe84e10c-d228-4e29-937b-e73e570dbb24,ВУ
1459,Сатина Мария,mns_fe84e10c-d228-4e29-937b-e73e570dbb24_007,Сатина Мария/mns_fe84e10c-d228-4e29-937b-e73e570dbb24/007_Белоярский_районт_Ка.wav,21.980,30.230,Белоярский районт Касум па̄выл музей кӯщаиг о̄лнэ нэ̄ Елена Терентьевна Федотова са̄всыр ёмас тэ̄лат ва̄ри.,fe84e10c-d228-4e29-937b-e73e570dbb24,ВУ
1460,Сатина Мария,mns_fe84e10c-d228-4e29-937b-e73e570dbb24_008,Сатина Мария/mns_fe84e10c-d228-4e29-937b-e73e570dbb24/008_Мощ_мо_лтынув_та_н_п.wav,30.420,35.940,Мощ мо̄лтынув та̄н па̄влыӈ нэ̄квет ёт са̄сныл са̄в­сыр то̄тапыт.,fe84e10c-d228-4e29-937b-e73e570dbb24,ВУ
1461,Сатина Мария,mns_fe84e10c-d228-4e29-937b-e73e570dbb24_009,Сатина Мария/mns_fe84e10c-d228-4e29-937b-e73e570dbb24/009_Хусап_совыт_сыспа_й_.wav,35.980,40.080,"Хусап­совыт, сыспа̄й­пыт ю̄нтуӈкв о̄вылтах­тасыт.",fe84e10c-d228-4e29-937b-e73e570dbb24,ВУ
1462,Сатина Мария,mns_fe84e10c-d228-4e29-937b-e73e570dbb24_010,Сатина Мария/mns_fe84e10c-d228-4e29-937b-e73e570dbb24/010_Та_н_халанылт_Зоя_Ни.wav,40.270,45.470,Та̄н халанылт Зоя Никоно­вна Тарлина сака ёмас ма̄щ­тыр нэ̄г ла̄ваве. ,fe84e10c-d228-4e29-937b-e73e570dbb24,ВУ
1463,Сатина Мария,mns_fe84e10c-d228-4e29-937b-e73e570dbb24_011,Сатина Мария/mns_fe84e10c-d228-4e29-937b-e73e570dbb24/011_Ханты_нэ_Зоя_Никонов.wav,45.650,51.800,Ханты нэ̄ Зоя Никоновна тув ма̄ньщи нэ̄кве Татьяна Ермиловна Тарасова о̄с во̄выстэ. ,fe84e10c-d228-4e29-937b-e73e570dbb24,ВУ
1464,Сатина Мария,mns_fe84e10c-d228-4e29-937b-e73e570dbb24_012,Сатина Мария/mns_fe84e10c-d228-4e29-937b-e73e570dbb24/012_Ты_та_л_т_я_оигпан_п.wav,52.000,55.800,Ты та̄л тӯя оигпан порат та̄н аквъёт са̄с атсыт.,fe84e10c-d228-4e29-937b-e73e570dbb24,ВУ
1465,Сатина Мария,mns_fe84e10c-d228-4e29-937b-e73e570dbb24_013,Сатина Мария/mns_fe84e10c-d228-4e29-937b-e73e570dbb24/013_Ту_выл_хот_сыс_тамта.wav,55.990,59.560,"Ту­выл хот-сыс­тамтасаныл, тит писыг ак­ван-ю̄нт­са­ныл. ",fe84e10c-d228-4e29-937b-e73e570dbb24,ВУ
1466,Сатина Мария,mns_fe84e10c-d228-4e29-937b-e73e570dbb24_014,Сатина Мария/mns_fe84e10c-d228-4e29-937b-e73e570dbb24/014_Ма_нь_таквс_ос_яныг_.wav,59.840,65.190,Ма̄нь таквс ос яныг таквс э̄тпо­сыгт та̄н са̄сныл ма̄щтырлаӈкв та о̄вылтахтасыт.,fe84e10c-d228-4e29-937b-e73e570dbb24,ВУ
1467,Сатина Мария,mns_fe84e10c-d228-4e29-937b-e73e570dbb24_015,Сатина Мария/mns_fe84e10c-d228-4e29-937b-e73e570dbb24/015_Ка_сы_нэ_кве_матыр_ю.wav,65.340,67.390,Ка̄сыӈ нэ̄кве матыр ю̄нтыс. ,fe84e10c-d228-4e29-937b-e73e570dbb24,ВУ
1468,Сатина Мария,mns_fe84e10c-d228-4e29-937b-e73e570dbb24_016,Сатина Мария/mns_fe84e10c-d228-4e29-937b-e73e570dbb24/016_Татьяна_Ермиловна_ти.wav,67.520,71.770,Татьяна Ермиловна тит са̄с то̄тап ос сыспа̄йп ю̄нтыс.,fe84e10c-d228-4e29-937b-e73e570dbb24,ВУ
1469,Сатина Мария,mns_fe84e10c-d228-4e29-937b-e73e570dbb24_017,Сатина Мария/mns_fe84e10c-d228-4e29-937b-e73e570dbb24/017_Такви_хорамыл_щуртса.wav,71.890,73.790,Такви хорамыл щуртсанэ.,fe84e10c-d228-4e29-937b-e73e570dbb24,ВУ
1470,Сатина Мария,mns_fe84e10c-d228-4e29-937b-e73e570dbb24_018,Сатина Мария/mns_fe84e10c-d228-4e29-937b-e73e570dbb24/018_Тав_ла_выс_Ка_сум_па.wav,73.880,78.600,"Тав ла̄выс, Ка­сум па̄выл нэ̄квет пус­сын сака ёмас сымыӈ хо̄тпат.",fe84e10c-d228-4e29-937b-e73e570dbb24,ВУ
1471,Сатина Мария,mns_fe84e10c-d228-4e29-937b-e73e570dbb24_019,Сатина Мария/mns_fe84e10c-d228-4e29-937b-e73e570dbb24/019_Акваг_н_тэ_гыт_э_рнэ.wav,78.770,81.890,"Акваг нё̄тэ̄гыт, э̄рнэ порат матыр хӯлтэ̄гыт.",fe84e10c-d228-4e29-937b-e73e570dbb24,ВУ
1472,Сатина Мария,mns_fe84e10c-d228-4e29-937b-e73e570dbb24_020,Сатина Мария/mns_fe84e10c-d228-4e29-937b-e73e570dbb24/020_Та_наныл_пуссын_п_ма.wav,82.020,87.950,Та̄наныл пуссын пӯма­щипа ла̄тӈыл ла̄виянэ ос са̄в ёмас ла̄тӈыл тēтыянэ.,fe84e10c-d228-4e29-937b-e73e570dbb24,ВУ
1473,Сатина Мария,mns_fe84e10c-d228-4e29-937b-e73e570dbb24_021,Сатина Мария/mns_fe84e10c-d228-4e29-937b-e73e570dbb24/021_Хурит_па_рт_тармыл_щ.wav,89.700,91.920,Хурит па̄рт тармыл щариты.,fe84e10c-d228-4e29-937b-e73e570dbb24,ВУ
1474,Сатина Мария,mns_fe84e10c-d228-4e29-937b-e73e570dbb24_022,Сатина Мария/mns_fe84e10c-d228-4e29-937b-e73e570dbb24/022_Ты_хум_наме_Анатолий.wav,92.040,96.270,"Ты хум наме Анатолий Воронов, Лангепас ӯст о̄лы.",fe84e10c-d228-4e29-937b-e73e570dbb24,ВУ
1475,Сатина Мария,mns_fe84e10c-d228-4e29-937b-e73e570dbb24_023,Сатина Мария/mns_fe84e10c-d228-4e29-937b-e73e570dbb24/023_Тав_са_в_та_л_ма_во_.wav,96.430,99.920,Тав са̄в та̄л ма̄-во̄й но̄х-винэ ма̄т рӯпитас.,fe84e10c-d228-4e29-937b-e73e570dbb24,ВУ
1476,Сатина Мария,mns_fe84e10c-d228-4e29-937b-e73e570dbb24_024,Сатина Мария/mns_fe84e10c-d228-4e29-937b-e73e570dbb24/024_Тувыл_тот_туре_н_хты.wav,100.090,103.550,"Тувыл тот туре̄н ёхтыс, мо̄т ма̄н рӯпитаӈкв та минас. ",fe84e10c-d228-4e29-937b-e73e570dbb24,ВУ
1477,Сатина Мария,mns_fe84e10c-d228-4e29-937b-e73e570dbb24_025,Сатина Мария/mns_fe84e10c-d228-4e29-937b-e73e570dbb24/025_Тав_такви_уре_тыл_то.wav,103.760,105.990,Тав такви уре̄тыл тох потыртас.,fe84e10c-d228-4e29-937b-e73e570dbb24,ВУ
1478,Сатина Мария,mns_fe84e10c-d228-4e29-937b-e73e570dbb24_026,Сатина Мария/mns_fe84e10c-d228-4e29-937b-e73e570dbb24/026_Ам_са_в_та_л_Лангепа.wav,106.090,109.460,Ам са̄в та̄л Лангепас ӯст о̄лэ̄гум.,fe84e10c-d228-4e29-937b-e73e570dbb24,ВУ
1479,Сатина Мария,mns_fe84e10c-d228-4e29-937b-e73e570dbb24_027,Сатина Мария/mns_fe84e10c-d228-4e29-937b-e73e570dbb24/027_Казахстан_ма_т_самын.wav,109.510,111.790,Казахстан ма̄т самын патсум.,fe84e10c-d228-4e29-937b-e73e570dbb24,ВУ
1480,Сатина Мария,mns_fe84e10c-d228-4e29-937b-e73e570dbb24_028,Сатина Мария/mns_fe84e10c-d228-4e29-937b-e73e570dbb24/028_Ва_т_арыг_тем_та_л_ю.wav,112.030,117.620,Ва̄т арыг­тем та̄л ювле-хультум порат омагув-а̄тягув ма̄н ётув ты ӯсн ва̄нтлысы̄г.,fe84e10c-d228-4e29-937b-e73e570dbb24,ВУ
1481,Сатина Мария,mns_fe84e10c-d228-4e29-937b-e73e570dbb24_029,Сатина Мария/mns_fe84e10c-d228-4e29-937b-e73e570dbb24/029_То_нт_ам_нилахуйплов.wav,117.750,120.170,То̄нт ам нилахуйплов та̄лум то̄влыс.,fe84e10c-d228-4e29-937b-e73e570dbb24,ВУ
1482,Сатина Мария,mns_fe84e10c-d228-4e29-937b-e73e570dbb24_030,Сатина Мария/mns_fe84e10c-d228-4e29-937b-e73e570dbb24/030_Та_порат_мирын_сака_.wav,120.200,124.340,"Та порат мирын сака та̄рвит о̄лыс, пуссын саваласыт.",fe84e10c-d228-4e29-937b-e73e570dbb24,ВУ
1483,Сатина Мария,mns_fe84e10c-d228-4e29-937b-e73e570dbb24_031,Сатина Мария/mns_fe84e10c-d228-4e29-937b-e73e570dbb24/031_Р_пата_а_тим_о_лнэ_м.wav,124.630,128.340,"Рӯпата а̄тим, о̄лнэ ма̄гыс олн а̄тим. ",fe84e10c-d228-4e29-937b-e73e570dbb24,ВУ
1484,Сатина Мария,mns_fe84e10c-d228-4e29-937b-e73e570dbb24_032,Сатина Мария/mns_fe84e10c-d228-4e29-937b-e73e570dbb24/032_Та_па_сныл_тот_ты_о_.wav,128.390,130.270,Та па̄сныл тот ты о̄лэ̄в.,fe84e10c-d228-4e29-937b-e73e570dbb24,ВУ
1485,Сатина Мария,mns_fe84e10c-d228-4e29-937b-e73e570dbb24_033,Сатина Мария/mns_fe84e10c-d228-4e29-937b-e73e570dbb24/033_Ам_ма_ниг_о_лмум_пор.wav,130.380,134.940,Ам ма̄ниг о̄лмум порат са̄всыр хурит по̄слуӈкв сака ка̄сащасум.,fe84e10c-d228-4e29-937b-e73e570dbb24,ВУ
